has_any_public_access,public_access_score,vulnerability_score,high_risk_combination,composite_anomaly_score,security_features_count,critical_security_gaps,public_access_type,configuration_inconsistency,extreme_configuration,security_penalty,bucket_name,source_file,assumed_anomalous
0.0375698018345672,0.0,0.0,0.0,0.0,0.11194236115618375,0.07791926345150046,0.0,0.1130228193897037,0.037311891472941866,0.0,public-data-unrestricted-bucket_var_0,data/terraform/misconfig/s3_public_acl_extra_new_1.tf_variation,1
0.0,0.0,0.0,0.0,0.0,0.10919922643576713,0.27783130415524404,0.11936397242823174,0.02186383160538625,0.08817610389486107,0.0,open-documents-share-bucket_var_1,data/terraform/misconfig/s3_public_acl_extra_new_5.tf_variation,1
0.0,0.0,0.0,0.23407463341030466,0.0,0.10709851870173691,0.009641647903025845,0.04191021055976431,0.0,0.0,0.0,open-documents-share-bucket_var_2,data/terraform/misconfig/s3_public_acl_extra_new_5.tf_variation,1
0.0,0.0,0.0,0.1030999522495951,0.0,0.09312801191161986,0.0,0.0,0.033126343140356396,0.09755451271223592,0.0,open-bucket-example-new_var_3,data/terraform/misconfig/s3_public_acl_new_4.tf_variation,1
0.0,-1.0,-1.0,0.0,-1.0,0.12334968045430572,0.0,0.0,0.0,0.0,0.0,private-bucket-default_var_4,data/terraform/correct/s3_private_default.tf_variation,0
0.07842081876539385,0.0,0.0,0.3372296253626673,0.0,0.0,0.0,0.0,0.0,0.10424916173394211,0.09035324906258424,public-read-write-bucket_var_5,data/terraform/misconfig/s3_public_read_write.tf_variation,1
0.0,-1.0,-1.0,0.0,-1.0,0.2287225982957292,0.1622920499341374,0.0,0.0,0.0,0.0,private-bucket-default_var_6,data/terraform/correct/s3_private_default.tf_variation,0
0.0,-1.0,-1.0,0.0,-1.0,0.01755532939548327,0.0,0.0,0.0,0.0,0.0,logs-bucket_var_7,data/terraform/misconfig/s3_public_with_logging.tf_variation,1
0.0,0.0,-0.3333333333333333,0.0,-0.5416666666666667,0.9493356780368476,0.0,0.2943663416481284,0.0,0.0,0.0,public-encrypted-bucket_var_8,data/terraform/misconfig/s3_public_encrypted.tf_variation,1
0.0,-1.0,-1.0,0.0,-1.0,0.14039587386592936,0.0,0.0,0.0,0.0,0.0,private-acl-private-bucket-3-new_var_9,data/terraform/correct/s3_private_acl_new_3.tf_variation,0
0.0,-1.0,-1.0,0.0,-1.0,0.0,0.12370160729364615,0.0,0.0,0.0,0.0,public-via-policy-bucket_var_10,data/terraform/misconfig/s3_public_policy.tf_variation,1
0.0,-1.0,-1.0,0.0,-1.0,0.07519330326867742,0.0791031947043047,0.0,0.0,0.0,0.0,private-bucket-default_var_11,data/terraform/correct/s3_private_default.tf_variation,0
0.21904556258099786,0.0,0.0,0.0,0.0,0.03782266147408522,0.19338398009281188,0.0080970805944567,0.0,0.08575032515881126,0.07181282798247107,public-data-new-bucket_var_12,data/terraform/misconfig/s3_public_acl_new_1.tf_variation,1
0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,private-acl-bucket-1-new_var_13,data/terraform/correct/s3_private_acl_new_1.tf_variation,0
0.08733169690894266,0.0,0.0,0.08135172173696698,0.0,0.0,0.022745993460412943,0.13071427542824282,0.0,0.018463385853230423,0.025988279424842355,open-documents-share-bucket_var_14,data/terraform/misconfig/s3_public_acl_extra_new_5.tf_variation,1
0.07818228717773104,0.0,-0.3333333333333333,0.0,-0.5416666666666667,0.8935168847136994,0.0,0.010576364702776063,0.09206667157130713,0.0,0.06530483110497608,public-encrypted-bucket_var_15,data/terraform/misconfig/s3_public_encrypted.tf_variation,1
0.11026874654627117,0.0,0.0,0.056689407078708724,0.0,0.0,0.0,0.0,0.015065904348328073,0.0,0.0,everyone-can-upload-bucket_var_16,data/terraform/misconfig/s3_public_acl_extra_new_4.tf_variation,1
0.0,-1.0,-1.0,0.0,-1.0,0.041278092693649834,0.082206015999449,0.0,0.0,0.0,0.0,private-acl-private-bucket-3-new_var_17,data/terraform/correct/s3_private_acl_new_3.tf_variation,0
0.0,0.0,0.0,0.0,0.0,0.04133540876236454,0.0,0.08721618593534539,0.130034514799654,0.0,0.08501205821238574,world-accessible-files-bucket_var_18,data/terraform/misconfig/s3_public_acl_extra_new_3.tf_variation,1
0.03943399514648298,0.0,0.0,0.0,0.0,0.04824724152431853,0.0,0.0714000494092092,0.047323762457354486,0.0,0.0,public-data-new-bucket_var_19,data/terraform/misconfig/s3_public_acl_new_1.tf_variation,1
0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,private-bucket-default_var_20,data/terraform/correct/s3_private_default.tf_variation,0
0.0,-1.0,-1.0,0.0,-1.0,0.10661985440977383,0.0,0.0,0.0,0.0,0.0,private-owner-control-bucket_var_21,data/terraform/correct/s3_private_owner_control.tf_variation,0
0.025720749098010684,0.0,-0.2222222222222222,0.0,-0.5361111111111112,1.0494995654191694,0.0,0.0,0.006835125110382891,0.0,0.1889547656126583,public-bucket-with-logging_var_22,data/terraform/misconfig/s3_public_with_logging.tf_variation,1
0.0,-1.0,-1.0,0.0,-1.0,0.0,0.06862601903745134,0.0,0.0,0.0,0.0,private-acl-bucket-1-new_var_23,data/terraform/correct/s3_private_acl_new_1.tf_variation,0
0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,private-bucket_var_24,data/terraform/correct/s3_private.tf_variation,0
0.0,-1.0,-1.0,0.0,-1.0,0.16613017306081543,0.0,0.0,0.0,0.0,0.0,private-owner-control-bucket_var_25,data/terraform/correct/s3_private_owner_control.tf_variation,0
0.0,-1.0,-1.0,0.0,-1.0,0.22448066060105637,0.0,0.0,0.0,0.0,0.0,private-bucket_var_26,data/terraform/correct/s3_private.tf_variation,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1096796254441404,0.21131121569582026,0.0,0.0,anonymous-access-new-bucket_var_27,data/terraform/misconfig/s3_public_acl_new_3.tf_variation,1
0.05246090006305091,0.0,0.0,0.005850890230684417,0.0,0.23479969284503227,0.040497550877052514,0.0909738174959817,0.0,0.006089660711716039,0.06471626967870439,public-read-bucket-explicit_var_28,data/terraform/misconfig/s3_public_read.tf_variation,1
0.0,-1.0,-1.0,0.0,-1.0,0.18089568290201627,0.022698430121934968,0.0,0.0,0.0,0.0,private-acl-private-bucket-3-new_var_29,data/terraform/correct/s3_private_acl_new_3.tf_variation,0
0.10606385788214107,0.0,0.0,0.028099186773503267,0.0,0.0,0.0,0.0,0.0,0.08496020970210247,0.035701548596504734,unprotected-data-lake-bucket_var_30,data/terraform/misconfig/s3_public_acl_extra_new_6.tf_variation,1
0.0,0.0,-0.2222222222222222,0.0,-0.5361111111111112,0.9921268316332194,0.0,0.13895663386149643,0.18704238978155174,0.0,0.0,public-bucket-with-logging_var_31,data/terraform/misconfig/s3_public_with_logging.tf_variation,1
0.038279946715078644,0.0,0.0,0.0,0.0,0.11619373177467747,0.1552859775839326,0.0,0.0,0.026162305597246638,0.0012146509073225325,world-readable-new-bucket_var_32,data/terraform/misconfig/s3_public_acl_new_2.tf_variation,1
0.09309340839740791,0.0,0.0,0.0,0.0,0.0,0.039204188973259585,0.0,0.0,0.20247209980010072,0.0,public-data-new-bucket_var_33,data/terraform/misconfig/s3_public_acl_new_1.tf_variation,1
0.0,0.0,0.0,0.0,0.0,0.0,0.11581108735000678,0.07916626939629359,0.062411981705215516,0.06283455092642799,0.0,anonymous-access-new-bucket_var_34,data/terraform/misconfig/s3_public_acl_new_3.tf_variation,1
0.0,0.0,0.0,0.032451831637455505,0.0,0.16752932496682202,0.08889842942771534,0.049606423322587516,0.005557215694396702,0.006023292148909217,0.0,public-data-unrestricted-bucket_var_35,data/terraform/misconfig/s3_public_acl_extra_new_1.tf_variation,1
-0.48276212926678796,-0.48276212926678796,-0.48276212926678796,-0.48276212926678796,-0.48276212926678796,0.0,0.0,-0.48276212926678796,-0.48276212926678796,-0.48276212926678796,-0.48276212926678796,interpolated_0,interpolated_0,0
-0.41308742642750285,-0.41308742642750285,-0.41308742642750285,-0.41308742642750285,-0.41308742642750285,0.0,0.0,-0.41308742642750285,-0.41308742642750285,-0.41308742642750285,-0.41308742642750285,interpolated_1,interpolated_1,0
-0.1698402911225234,-0.1698402911225234,-0.1698402911225234,-0.1698402911225234,-0.1698402911225234,0.0,0.0,-0.1698402911225234,-0.1698402911225234,-0.1698402911225234,-0.1698402911225234,interpolated_2,interpolated_2,0
-0.38203958187788756,-0.38203958187788756,-0.38203958187788756,-0.38203958187788756,-0.38203958187788756,0.0,0.0,-0.38203958187788756,-0.38203958187788756,-0.38203958187788756,-0.38203958187788756,interpolated_3,interpolated_3,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interpolated_4,interpolated_4,0
0.0,0.0,-0.0655302477545072,-0.16382561938626802,-0.15809172270774866,0.29488611489528244,-0.29488611489528244,0.0,0.0,-0.1965907432635216,0.0,interpolated_5,interpolated_5,0
0.0,0.0,-0.1436989943938245,-0.2394983239897075,-0.23351086588996484,0.4310969831814735,-0.4310969831814735,0.0,0.0,-0.287397988787649,0.0,interpolated_6,interpolated_6,0
-0.3936415578972311,-0.3936415578972311,-0.3936415578972311,-0.3936415578972311,-0.3936415578972311,0.0,0.0,-0.3936415578972311,-0.3936415578972311,-0.3936415578972311,-0.3936415578972311,interpolated_7,interpolated_7,0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,interpolated_8,interpolated_8,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interpolated_9,interpolated_9,0
-0.31824514653886704,-0.31824514653886704,-0.31824514653886704,-0.31824514653886704,-0.31824514653886704,0.0,0.0,-0.31824514653886704,-0.31824514653886704,-0.31824514653886704,-0.31824514653886704,interpolated_10,interpolated_10,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interpolated_11,interpolated_11,0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,interpolated_12,interpolated_12,0
-0.8434652345346104,-0.8434652345346104,-0.8434652345346104,-0.8434652345346104,-0.8434652345346104,0.0,0.0,-0.8434652345346104,-0.8434652345346104,-0.8434652345346104,-0.8434652345346104,interpolated_13,interpolated_13,0
-0.09806207514682352,-0.09806207514682352,-0.09806207514682352,-0.09806207514682352,-0.09806207514682352,0.0,0.0,-0.09806207514682352,-0.09806207514682352,-0.09806207514682352,-0.09806207514682352,interpolated_14,interpolated_14,0
0.0,0.0,-0.16616544145672263,-0.2769424024278711,-0.2700188423671743,0.49849632437016794,-0.49849632437016794,0.0,0.0,-0.33233088291344526,0.0,interpolated_15,interpolated_15,0
-0.20153257380793,-0.20153257380793,-0.46768838253862,-0.6451255883590801,-0.6340357629953013,0.79846742619207,-0.79846742619207,-0.20153257380793,-0.20153257380793,-0.73384419126931,-0.20153257380793,interpolated_16,interpolated_16,0
0.0,0.0,-0.14722355128139603,-0.36805887820349015,-0.35517681746636803,0.6625059807662822,-0.6625059807662822,0.0,0.0,-0.44167065384418813,0.0,interpolated_17,interpolated_17,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interpolated_18,interpolated_18,0
-0.6228468571666845,-0.6228468571666845,-0.6228468571666845,-0.6228468571666845,-0.6228468571666845,0.0,0.0,-0.6228468571666845,-0.6228468571666845,-0.6228468571666845,-0.6228468571666845,interpolated_19,interpolated_19,0
-0.5679318273363169,-0.5679318273363169,-0.5679318273363169,-0.5679318273363169,-0.5679318273363169,0.0,0.0,-0.5679318273363169,-0.5679318273363169,-0.5679318273363169,-0.5679318273363169,interpolated_20,interpolated_20,0
-0.9678128261074768,-0.9678128261074768,-0.9678128261074768,-0.9678128261074768,-0.9678128261074768,0.0,0.0,-0.9678128261074768,-0.9678128261074768,-0.9678128261074768,-0.9678128261074768,interpolated_21,interpolated_21,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interpolated_22,interpolated_22,0
-0.2616667900970666,-0.2616667900970666,-0.2616667900970666,-0.2616667900970666,-0.2616667900970666,0.0,0.0,-0.2616667900970666,-0.2616667900970666,-0.2616667900970666,-0.2616667900970666,interpolated_23,interpolated_23,0
0.0,0.0,-0.1422431201659425,-0.35560780041485635,-0.3431615274003364,0.6400940407467414,-0.6400940407467414,0.0,0.0,-0.42672936049782756,0.0,interpolated_24,interpolated_24,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interpolated_25,interpolated_25,0
0.0,0.0,-0.187997167862795,-0.4699929196569876,-0.45354316746899304,0.8459872553825776,-0.8459872553825776,0.0,0.0,-0.563991503588385,0.0,interpolated_26,interpolated_26,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interpolated_27,interpolated_27,0
-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,interpolated_28,interpolated_28,0
-0.4356709232941543,-0.4356709232941543,-0.4356709232941543,-0.4356709232941543,-0.4356709232941543,0.0,0.0,-0.4356709232941543,-0.4356709232941543,-0.4356709232941543,-0.4356709232941543,interpolated_29,interpolated_29,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interpolated_30,interpolated_30,0
0.0,0.0,-0.14342373098576713,-0.3585593274644178,-0.3460097510031633,0.6454067894359521,-0.6454067894359521,0.0,0.0,-0.4302711929573014,0.0,interpolated_31,interpolated_31,0
-0.39518620026258455,-0.39518620026258455,-0.39518620026258455,-0.39518620026258455,-0.39518620026258455,0.0,0.0,-0.39518620026258455,-0.39518620026258455,-0.39518620026258455,-0.39518620026258455,interpolated_32,interpolated_32,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interpolated_33,interpolated_33,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interpolated_34,interpolated_34,0
-0.7838434726065658,-0.7838434726065658,-0.7838434726065658,-0.7838434726065658,-0.7838434726065658,0.0,0.0,-0.7838434726065658,-0.7838434726065658,-0.7838434726065658,-0.7838434726065658,interpolated_35,interpolated_35,0
-0.24094420421891083,-0.24094420421891083,-0.24094420421891083,-0.24094420421891083,-0.24094420421891083,0.0,0.0,-0.24094420421891083,-0.24094420421891083,-0.24094420421891083,-0.24094420421891083,interpolated_36,interpolated_36,0
